,date
0,1926-07-01
1,1926-07-02
2,1926-07-06
3,1926-07-07
4,1926-07-08
5,1926-07-09
6,1926-07-10
7,1926-07-12
8,1926-07-13
9,1926-07-14
10,1926-07-15
11,1926-07-16
12,1926-07-17
13,1926-07-19
14,1926-07-20
15,1926-07-21
16,1926-07-22
17,1926-07-23
18,1926-07-24
19,1926-07-26
20,1926-07-27
21,1926-07-28
22,1926-07-29
23,1926-07-30
24,1926-07-31
25,1926-08-02
26,1926-08-03
27,1926-08-04
28,1926-08-05
29,1926-08-06
30,1926-08-07
31,1926-08-09
32,1926-08-10
33,1926-08-11
34,1926-08-12
35,1926-08-13
36,1926-08-14
37,1926-08-16
38,1926-08-17
39,1926-08-18
40,1926-08-19
41,1926-08-20
42,1926-08-21
43,1926-08-23
44,1926-08-24
45,1926-08-25
46,1926-08-26
47,1926-08-27
48,1926-08-28
49,1926-08-30
50,1926-08-31
51,1926-09-01
52,1926-09-02
53,1926-09-03
54,1926-09-07
55,1926-09-08
56,1926-09-09
57,1926-09-10
58,1926-09-11
59,1926-09-13
60,1926-09-14
61,1926-09-15
62,1926-09-16
63,1926-09-17
64,1926-09-18
65,1926-09-20
66,1926-09-21
67,1926-09-22
68,1926-09-23
69,1926-09-24
70,1926-09-25
71,1926-09-27
72,1926-09-28
73,1926-09-29
74,1926-09-30
75,1926-10-01
76,1926-10-02
77,1926-10-04
78,1926-10-05
79,1926-10-06
80,1926-10-07
81,1926-10-08
82,1926-10-09
83,1926-10-11
84,1926-10-13
85,1926-10-14
86,1926-10-15
87,1926-10-16
88,1926-10-18
89,1926-10-19
90,1926-10-20
91,1926-10-21
92,1926-10-22
93,1926-10-23
94,1926-10-25
95,1926-10-26
96,1926-10-27
97,1926-10-28
98,1926-10-29
99,1926-10-30
100,1926-11-01
101,1926-11-03
102,1926-11-04
103,1926-11-05
104,1926-11-06
105,1926-11-08
106,1926-11-09
107,1926-11-10
108,1926-11-11
109,1926-11-12
110,1926-11-13
111,1926-11-15
112,1926-11-16
113,1926-11-17
114,1926-11-18
115,1926-11-19
116,1926-11-20
117,1926-11-22
118,1926-11-23
119,1926-11-24
120,1926-11-26
121,1926-11-27
122,1926-11-29
123,1926-11-30
124,1926-12-01
125,1926-12-02
126,1926-12-03
127,1926-12-04
128,1926-12-06
129,1926-12-07
130,1926-12-08
131,1926-12-09
132,1926-12-10
133,1926-12-11
134,1926-12-13
135,1926-12-14
136,1926-12-15
137,1926-12-16
138,1926-12-17
139,1926-12-18
140,1926-12-20
141,1926-12-21
142,1926-12-22
143,1926-12-23
144,1926-12-24
145,1926-12-27
146,1926-12-28
147,1926-12-29
148,1926-12-30
149,1926-12-31
150,1927-01-03
151,1927-01-04
152,1927-01-05
153,1927-01-06
154,1927-01-07
155,1927-01-08
156,1927-01-10
157,1927-01-11
158,1927-01-12
159,1927-01-13
160,1927-01-14
161,1927-01-15
162,1927-01-17
163,1927-01-18
164,1927-01-19
165,1927-01-20
166,1927-01-21
167,1927-01-22
168,1927-01-24
169,1927-01-25
170,1927-01-26
171,1927-01-27
172,1927-01-28
173,1927-01-29
174,1927-01-31
175,1927-02-01
176,1927-02-02
177,1927-02-03
178,1927-02-04
179,1927-02-05
180,1927-02-07
181,1927-02-08
182,1927-02-09
183,1927-02-10
184,1927-02-11
185,1927-02-14
186,1927-02-15
187,1927-02-16
188,1927-02-17
189,1927-02-18
190,1927-02-19
191,1927-02-21
192,1927-02-23
193,1927-02-24
194,1927-02-25
195,1927-02-26
196,1927-02-28
197,1927-03-01
198,1927-03-02
199,1927-03-03
200,1927-03-04
201,1927-03-05
202,1927-03-07
203,1927-03-08
204,1927-03-09
205,1927-03-10
206,1927-03-11
207,1927-03-12
208,1927-03-14
209,1927-03-15
210,1927-03-16
211,1927-03-17
212,1927-03-18
213,1927-03-19
214,1927-03-21
215,1927-03-22
216,1927-03-23
217,1927-03-24
218,1927-03-25
219,1927-03-26
220,1927-03-28
221,1927-03-29
222,1927-03-30
223,1927-03-31
224,1927-04-01
225,1927-04-02
226,1927-04-04
227,1927-04-05
228,1927-04-06
229,1927-04-07
230,1927-04-08
231,1927-04-09
232,1927-04-11
233,1927-04-12
234,1927-04-13
235,1927-04-14
236,1927-04-16
237,1927-04-18
238,1927-04-19
239,1927-04-20
240,1927-04-21
241,1927-04-22
242,1927-04-23
243,1927-04-25
244,1927-04-26
245,1927-04-27
246,1927-04-28
247,1927-04-29
248,1927-04-30
249,1927-05-02
250,1927-05-03
251,1927-05-04
252,1927-05-05
253,1927-05-06
254,1927-05-07
255,1927-05-09
256,1927-05-10
257,1927-05-11
258,1927-05-12
259,1927-05-13
260,1927-05-14
261,1927-05-16
262,1927-05-17
263,1927-05-18
264,1927-05-19
265,1927-05-20
266,1927-05-21
267,1927-05-23
268,1927-05-24
269,1927-05-25
270,1927-05-26
271,1927-05-27
272,1927-05-28
273,1927-05-31
274,1927-06-01
275,1927-06-02
276,1927-06-03
277,1927-06-04
278,1927-06-06
279,1927-06-07
280,1927-06-08
281,1927-06-09
282,1927-06-10
283,1927-06-11
284,1927-06-14
285,1927-06-15
286,1927-06-16
287,1927-06-17
288,1927-06-18
289,1927-06-20
290,1927-06-21
291,1927-06-22
292,1927-06-23
293,1927-06-24
294,1927-06-25
295,1927-06-27
296,1927-06-28
297,1927-06-29
298,1927-06-30
299,1927-07-01
300,1927-07-02
301,1927-07-05
302,1927-07-06
303,1927-07-07
304,1927-07-08
305,1927-07-09
306,1927-07-11
307,1927-07-12
308,1927-07-13
309,1927-07-14
310,1927-07-15
311,1927-07-16
312,1927-07-18
313,1927-07-19
314,1927-07-20
315,1927-07-21
316,1927-07-22
317,1927-07-23
318,1927-07-25
319,1927-07-26
320,1927-07-27
321,1927-07-28
322,1927-07-29
323,1927-07-30
324,1927-08-01
325,1927-08-02
326,1927-08-03
327,1927-08-04
328,1927-08-05
329,1927-08-06
330,1927-08-08
331,1927-08-09
332,1927-08-10
333,1927-08-11
334,1927-08-12
335,1927-08-13
336,1927-08-15
337,1927-08-16
338,1927-08-17
339,1927-08-18
340,1927-08-19
341,1927-08-20
342,1927-08-22
343,1927-08-23
344,1927-08-24
345,1927-08-25
346,1927-08-26
347,1927-08-27
348,1927-08-29
349,1927-08-30
350,1927-08-31
351,1927-09-01
352,1927-09-02
353,1927-09-03
354,1927-09-06
355,1927-09-07
356,1927-09-08
357,1927-09-09
358,1927-09-10
359,1927-09-12
360,1927-09-13
361,1927-09-14
362,1927-09-15
363,1927-09-16
364,1927-09-17
365,1927-09-19
366,1927-09-20
367,1927-09-21
368,1927-09-22
369,1927-09-23
370,1927-09-24
371,1927-09-26
372,1927-09-27
373,1927-09-28
374,1927-09-29
375,1927-09-30
376,1927-10-01
377,1927-10-03
378,1927-10-04
379,1927-10-05
380,1927-10-06
381,1927-10-07
382,1927-10-08
383,1927-10-10
384,1927-10-11
385,1927-10-13
386,1927-10-14
387,1927-10-15
388,1927-10-17
389,1927-10-18
390,1927-10-19
391,1927-10-20
392,1927-10-21
393,1927-10-22
394,1927-10-24
395,1927-10-25
396,1927-10-26
397,1927-10-27
398,1927-10-28
399,1927-10-29
400,1927-10-31
401,1927-11-01
402,1927-11-02
403,1927-11-03
404,1927-11-04
405,1927-11-05
406,1927-11-07
407,1927-11-09
408,1927-11-10
409,1927-11-11
410,1927-11-12
411,1927-11-14
412,1927-11-15
413,1927-11-16
414,1927-11-17
415,1927-11-18
416,1927-11-19
417,1927-11-21
418,1927-11-22
419,1927-11-23
420,1927-11-25
421,1927-11-26
422,1927-11-28
423,1927-11-29
424,1927-11-30
425,1927-12-01
426,1927-12-02
427,1927-12-03
428,1927-12-05
429,1927-12-06
430,1927-12-07
431,1927-12-08
432,1927-12-09
433,1927-12-10
434,1927-12-12
435,1927-12-13
436,1927-12-14
437,1927-12-15
438,1927-12-16
439,1927-12-17
440,1927-12-19
441,1927-12-20
442,1927-12-21
443,1927-12-22
444,1927-12-23
445,1927-12-24
446,1927-12-27
447,1927-12-28
448,1927-12-29
449,1927-12-30
450,1927-12-31
451,1928-01-03
452,1928-01-04
453,1928-01-05
454,1928-01-06
455,1928-01-07
456,1928-01-09
457,1928-01-10
458,1928-01-11
459,1928-01-12
460,1928-01-13
461,1928-01-14
462,1928-01-16
463,1928-01-17
464,1928-01-18
465,1928-01-19
466,1928-01-20
467,1928-01-21
468,1928-01-23
469,1928-01-24
470,1928-01-25
471,1928-01-26
472,1928-01-27
473,1928-01-28
474,1928-01-30
475,1928-01-31
476,1928-02-01
477,1928-02-02
478,1928-02-03
479,1928-02-04
480,1928-02-06
481,1928-02-07
482,1928-02-08
483,1928-02-09
484,1928-02-10
485,1928-02-11
486,1928-02-14
487,1928-02-15
488,1928-02-16
489,1928-02-17
490,1928-02-18
491,1928-02-20
492,1928-02-21
493,1928-02-23
494,1928-02-24
495,1928-02-25
496,1928-02-27
497,1928-02-28
498,1928-02-29
499,1928-03-01
500,1928-03-02
501,1928-03-03
502,1928-03-05
503,1928-03-06
504,1928-03-07
505,1928-03-08
506,1928-03-09
507,1928-03-10
508,1928-03-12
509,1928-03-13
510,1928-03-14
511,1928-03-15
512,1928-03-16
513,1928-03-17
514,1928-03-19
515,1928-03-20
516,1928-03-21
517,1928-03-22
518,1928-03-23
519,1928-03-24
520,1928-03-26
521,1928-03-27
522,1928-03-28
523,1928-03-29
524,1928-03-30
525,1928-03-31
526,1928-04-02
527,1928-04-03
528,1928-04-04
529,1928-04-05
530,1928-04-09
531,1928-04-10
532,1928-04-11
533,1928-04-12
534,1928-04-13
535,1928-04-14
536,1928-04-16
537,1928-04-17
538,1928-04-18
539,1928-04-19
540,1928-04-20
541,1928-04-23
542,1928-04-24
543,1928-04-25
544,1928-04-26
545,1928-04-27
546,1928-04-28
547,1928-04-30
548,1928-05-01
549,1928-05-02
550,1928-05-03
551,1928-05-04
552,1928-05-07
553,1928-05-08
554,1928-05-09
555,1928-05-10
556,1928-05-11
557,1928-05-14
558,1928-05-15
559,1928-05-16
560,1928-05-17
561,1928-05-18
562,1928-05-21
563,1928-05-22
564,1928-05-23
565,1928-05-24
566,1928-05-25
567,1928-05-28
568,1928-05-29
569,1928-05-31
570,1928-06-01
571,1928-06-02
572,1928-06-04
573,1928-06-05
574,1928-06-06
575,1928-06-07
576,1928-06-08
577,1928-06-09
578,1928-06-11
579,1928-06-12
580,1928-06-13
581,1928-06-14
582,1928-06-15
583,1928-06-16
584,1928-06-18
585,1928-06-19
586,1928-06-20
587,1928-06-21
588,1928-06-22
589,1928-06-23
590,1928-06-25
591,1928-06-26
592,1928-06-27
593,1928-06-28
594,1928-06-29
595,1928-06-30
596,1928-07-02
597,1928-07-03
598,1928-07-05
599,1928-07-06
600,1928-07-07
601,1928-07-09
602,1928-07-10
603,1928-07-11
604,1928-07-12
605,1928-07-13
606,1928-07-14
607,1928-07-16
608,1928-07-17
609,1928-07-18
610,1928-07-19
611,1928-07-20
612,1928-07-21
613,1928-07-23
614,1928-07-24
615,1928-07-25
616,1928-07-26
617,1928-07-27
618,1928-07-28
619,1928-07-30
620,1928-07-31
621,1928-08-01
622,1928-08-02
623,1928-08-03
624,1928-08-04
625,1928-08-06
626,1928-08-07
627,1928-08-08
628,1928-08-09
629,1928-08-10
630,1928-08-11
631,1928-08-13
632,1928-08-14
633,1928-08-15
634,1928-08-16
635,1928-08-17
636,1928-08-18
637,1928-08-20
638,1928-08-21
639,1928-08-22
640,1928-08-23
641,1928-08-24
642,1928-08-25
643,1928-08-27
644,1928-08-28
645,1928-08-29
646,1928-08-30
647,1928-08-31
648,1928-09-01
649,1928-09-04
650,1928-09-05
651,1928-09-06
652,1928-09-07
653,1928-09-08
654,1928-09-10
655,1928-09-11
656,1928-09-12
657,1928-09-13
658,1928-09-14
659,1928-09-15
660,1928-09-17
661,1928-09-18
662,1928-09-19
663,1928-09-20
664,1928-09-21
665,1928-09-22
666,1928-09-24
667,1928-09-25
668,1928-09-26
669,1928-09-27
670,1928-09-28
671,1928-09-29
672,1928-10-01
673,1928-10-02
