,date
0,1970-01-31
1,1970-02-28
2,1970-03-31
3,1970-04-30
4,1970-05-31
5,1970-06-30
6,1970-07-31
7,1970-08-31
8,1970-09-30
9,1970-10-31
10,1970-11-30
11,1970-12-31
12,1971-01-31
13,1971-02-28
14,1971-03-31
15,1971-04-30
16,1971-05-31
17,1971-06-30
18,1971-07-31
19,1971-08-31
20,1971-09-30
21,1971-10-31
22,1971-11-30
23,1971-12-31
24,1972-01-31
25,1972-02-29
26,1972-03-31
27,1972-04-30
28,1972-05-31
29,1972-06-30
30,1972-07-31
31,1972-08-31
32,1972-09-30
33,1972-10-31
34,1972-11-30
35,1972-12-31
36,1973-01-31
37,1973-02-28
38,1973-03-31
39,1973-04-30
40,1973-05-31
41,1973-06-30
42,1973-07-31
43,1973-08-31
44,1973-09-30
45,1973-10-31
46,1973-11-30
47,1973-12-31
48,1974-01-31
49,1974-02-28
50,1974-03-31
51,1974-04-30
52,1974-05-31
53,1974-06-30
54,1974-07-31
55,1974-08-31
56,1974-09-30
57,1974-10-31
58,1974-11-30
59,1974-12-31
60,1975-01-31
61,1975-02-28
62,1975-03-31
63,1975-04-30
64,1975-05-31
65,1975-06-30
66,1975-07-31
67,1975-08-31
68,1975-09-30
69,1975-10-31
70,1975-11-30
71,1975-12-31
72,1976-01-31
73,1976-02-29
74,1976-03-31
75,1976-04-30
76,1976-05-31
77,1976-06-30
78,1976-07-31
79,1976-08-31
80,1976-09-30
81,1976-10-31
82,1976-11-30
83,1976-12-31
84,1977-01-31
85,1977-02-28
86,1977-03-31
87,1977-04-30
88,1977-05-31
89,1977-06-30
90,1977-07-31
91,1977-08-31
92,1977-09-30
93,1977-10-31
94,1977-11-30
95,1977-12-31
96,1978-01-31
97,1978-02-28
98,1978-03-31
99,1978-04-30
100,1978-05-31
101,1978-06-30
102,1978-07-31
103,1978-08-31
104,1978-09-30
105,1978-10-31
106,1978-11-30
107,1978-12-31
108,1979-01-31
109,1979-02-28
110,1979-03-31
111,1979-04-30
112,1979-05-31
113,1979-06-30
114,1979-07-31
115,1979-08-31
116,1979-09-30
117,1979-10-31
118,1979-11-30
119,1979-12-31
120,1980-01-31
121,1980-02-29
122,1980-03-31
123,1980-04-30
124,1980-05-31
125,1980-06-30
126,1980-07-31
127,1980-08-31
128,1980-09-30
129,1980-10-31
130,1980-11-30
131,1980-12-31
132,1981-01-31
133,1981-02-28
134,1981-03-31
135,1981-04-30
136,1981-05-31
137,1981-06-30
138,1981-07-31
139,1981-08-31
140,1981-09-30
141,1981-10-31
142,1981-11-30
143,1981-12-31
144,1982-01-31
145,1982-02-28
146,1982-03-31
147,1982-04-30
148,1982-05-31
149,1982-06-30
150,1982-07-31
151,1982-08-31
152,1982-09-30
153,1982-10-31
154,1982-11-30
155,1982-12-31
156,1983-01-31
157,1983-02-28
158,1983-03-31
159,1983-04-30
160,1983-05-31
161,1983-06-30
162,1983-07-31
163,1983-08-31
164,1983-09-30
165,1983-10-31
166,1983-11-30
167,1983-12-31
168,1984-01-31
169,1984-02-29
170,1984-03-31
171,1984-04-30
172,1984-05-31
173,1984-06-30
174,1984-07-31
175,1984-08-31
176,1984-09-30
177,1984-10-31
178,1984-11-30
179,1984-12-31
180,1985-01-31
181,1985-02-28
182,1985-03-31
183,1985-04-30
184,1985-05-31
185,1985-06-30
186,1985-07-31
187,1985-08-31
188,1985-09-30
189,1985-10-31
190,1985-11-30
191,1985-12-31
192,1986-01-31
193,1986-02-28
194,1986-03-31
195,1986-04-30
196,1986-05-31
197,1986-06-30
198,1986-07-31
199,1986-08-31
200,1986-09-30
201,1986-10-31
202,1986-11-30
203,1986-12-31
204,1987-01-31
205,1987-02-28
206,1987-03-31
207,1987-04-30
208,1987-05-31
209,1987-06-30
210,1987-07-31
211,1987-08-31
212,1987-09-30
213,1987-10-31
214,1987-11-30
215,1987-12-31
216,1988-01-31
217,1988-02-29
218,1988-03-31
219,1988-04-30
220,1988-05-31
221,1988-06-30
222,1988-07-31
223,1988-08-31
224,1988-09-30
225,1988-10-31
226,1988-11-30
227,1988-12-31
228,1989-01-31
229,1989-02-28
230,1989-03-31
231,1989-04-30
232,1989-05-31
233,1989-06-30
234,1989-07-31
235,1989-08-31
236,1989-09-30
237,1989-10-31
238,1989-11-30
239,1989-12-31
240,1990-01-31
241,1990-02-28
242,1990-03-31
243,1990-04-30
244,1990-05-31
245,1990-06-30
246,1990-07-31
247,1990-08-31
248,1990-09-30
249,1990-10-31
250,1990-11-30
251,1990-12-31
252,1991-01-31
253,1991-02-28
254,1991-03-31
255,1991-04-30
256,1991-05-31
257,1991-06-30
258,1991-07-31
259,1991-08-31
260,1991-09-30
261,1991-10-31
262,1991-11-30
263,1991-12-31
264,1992-01-31
265,1992-02-29
266,1992-03-31
267,1992-04-30
268,1992-05-31
269,1992-06-30
270,1992-07-31
271,1992-08-31
272,1992-09-30
273,1992-10-31
274,1992-11-30
275,1992-12-31
276,1993-01-31
277,1993-02-28
278,1993-03-31
279,1993-04-30
280,1993-05-31
281,1993-06-30
282,1993-07-31
283,1993-08-31
284,1993-09-30
285,1993-10-31
286,1993-11-30
287,1993-12-31
288,1994-01-31
289,1994-02-28
290,1994-03-31
291,1994-04-30
292,1994-05-31
293,1994-06-30
294,1994-07-31
295,1994-08-31
296,1994-09-30
297,1994-10-31
298,1994-11-30
299,1994-12-31
300,1995-01-31
301,1995-02-28
302,1995-03-31
303,1995-04-30
304,1995-05-31
305,1995-06-30
306,1995-07-31
307,1995-08-31
308,1995-09-30
309,1995-10-31
310,1995-11-30
311,1995-12-31
312,1996-01-31
313,1996-02-29
314,1996-03-31
315,1996-04-30
316,1996-05-31
317,1996-06-30
318,1996-07-31
319,1996-08-31
320,1996-09-30
321,1996-10-31
322,1996-11-30
323,1996-12-31
324,1997-01-31
325,1997-02-28
326,1997-03-31
327,1997-04-30
328,1997-05-31
329,1997-06-30
330,1997-07-31
331,1997-08-31
332,1997-09-30
333,1997-10-31
334,1997-11-30
335,1997-12-31
336,1998-01-31
337,1998-02-28
338,1998-03-31
339,1998-04-30
340,1998-05-31
341,1998-06-30
342,1998-07-31
343,1998-08-31
344,1998-09-30
345,1998-10-31
346,1998-11-30
347,1998-12-31
348,1999-01-31
349,1999-02-28
350,1999-03-31
351,1999-04-30
352,1999-05-31
353,1999-06-30
354,1999-07-31
355,1999-08-31
356,1999-09-30
357,1999-10-31
358,1999-11-30
359,1999-12-31
360,2000-01-31
361,2000-02-29
362,2000-03-31
363,2000-04-30
364,2000-05-31
365,2000-06-30
366,2000-07-31
367,2000-08-31
368,2000-09-30
369,2000-10-31
370,2000-11-30
371,2000-12-31
372,2001-01-31
373,2001-02-28
374,2001-03-31
375,2001-04-30
376,2001-05-31
377,2001-06-30
378,2001-07-31
379,2001-08-31
380,2001-09-30
381,2001-10-31
382,2001-11-30
383,2001-12-31
384,2002-01-31
385,2002-02-28
386,2002-03-31
387,2002-04-30
388,2002-05-31
389,2002-06-30
390,2002-07-31
391,2002-08-31
392,2002-09-30
393,2002-10-31
394,2002-11-30
395,2002-12-31
396,2003-01-31
397,2003-02-28
398,2003-03-31
399,2003-04-30
400,2003-05-31
401,2003-06-30
402,2003-07-31
403,2003-08-31
404,2003-09-30
405,2003-10-31
406,2003-11-30
407,2003-12-31
408,2004-01-31
409,2004-02-29
410,2004-03-31
411,2004-04-30
412,2004-05-31
413,2004-06-30
414,2004-07-31
415,2004-08-31
416,2004-09-30
417,2004-10-31
418,2004-11-30
419,2004-12-31
420,2005-01-31
421,2005-02-28
422,2005-03-31
423,2005-04-30
424,2005-05-31
425,2005-06-30
426,2005-07-31
427,2005-08-31
428,2005-09-30
429,2005-10-31
430,2005-11-30
431,2005-12-31
432,2006-01-31
433,2006-02-28
434,2006-03-31
435,2006-04-30
436,2006-05-31
437,2006-06-30
438,2006-07-31
439,2006-08-31
440,2006-09-30
441,2006-10-31
442,2006-11-30
443,2006-12-31
444,2007-01-31
445,2007-02-28
446,2007-03-31
447,2007-04-30
448,2007-05-31
449,2007-06-30
450,2007-07-31
451,2007-08-31
452,2007-09-30
453,2007-10-31
454,2007-11-30
455,2007-12-31
456,2008-01-31
457,2008-02-29
458,2008-03-31
459,2008-04-30
460,2008-05-31
461,2008-06-30
462,2008-07-31
463,2008-08-31
464,2008-09-30
465,2008-10-31
466,2008-11-30
467,2008-12-31
468,2009-01-31
469,2009-02-28
470,2009-03-31
471,2009-04-30
472,2009-05-31
473,2009-06-30
474,2009-07-31
475,2009-08-31
476,2009-09-30
477,2009-10-31
478,2009-11-30
479,2009-12-31
480,2010-01-31
481,2010-02-28
482,2010-03-31
483,2010-04-30
484,2010-05-31
485,2010-06-30
486,2010-07-31
487,2010-08-31
488,2010-09-30
489,2010-10-31
490,2010-11-30
491,2010-12-31
492,2011-01-31
493,2011-02-28
494,2011-03-31
495,2011-04-30
496,2011-05-31
497,2011-06-30
498,2011-07-31
499,2011-08-31
500,2011-09-30
501,2011-10-31
502,2011-11-30
503,2011-12-31
504,2012-01-31
505,2012-02-29
506,2012-03-31
507,2012-04-30
508,2012-05-31
509,2012-06-30
510,2012-07-31
511,2012-08-31
512,2012-09-30
513,2012-10-31
514,2012-11-30
515,2012-12-31
516,2013-01-31
517,2013-02-28
518,2013-03-31
519,2013-04-30
520,2013-05-31
521,2013-06-30
522,2013-07-31
523,2013-08-31
524,2013-09-30
525,2013-10-31
526,2013-11-30
527,2013-12-31
528,2014-01-31
529,2014-02-28
530,2014-03-31
531,2014-04-30
532,2014-05-31
533,2014-06-30
534,2014-07-31
535,2014-08-31
536,2014-09-30
537,2014-10-31
538,2014-11-30
539,2014-12-31
540,2015-01-31
541,2015-02-28
542,2015-03-31
543,2015-04-30
544,2015-05-31
545,2015-06-30
