date,sp500,tsy,sp500_20,tsy_20,sp500_10,tsy_10
2006-01-04,1273.46,4.348,,,,
2006-01-05,1273.48,4.358,,,,
2006-01-06,1285.45,4.383,,,,
2006-01-09,1290.15,4.373,,,,
2006-01-10,1289.69,4.43,,,,
2006-01-11,1294.18,4.458,,,,
2006-01-12,1286.06,4.408,,,,
2006-01-13,1287.61,4.357,,,,
2006-01-17,1283.03,4.33,,,,
2006-01-18,1277.93,4.338,,,0.003510122,-0.01
2006-01-19,1285.04,4.377,,,0.009077488,0.019
2006-01-20,1261.49,4.355,,,-0.018639387,-0.028
2006-01-23,1263.82,4.361,,,-0.02040848,-0.012
2006-01-24,1266.86,4.394,,,-0.017701928,-0.036
2006-01-25,1264.68,4.481,,,-0.022794356,0.023
2006-01-26,1273.83,4.525,,,-0.009509665,0.117
2006-01-27,1283.72,4.515,,,-0.003021101,0.158
2006-01-30,1285.19,4.531,,,0.001683515,0.201
2006-01-31,1280.08,4.519,,,0.001682408,0.181
2006-02-01,1282.46,4.561,0.0070674,0.213,-0.00200772,0.184
2006-02-02,1270.84,4.563,-0.0020731,0.205,0.00741187,0.208
2006-02-03,1264.03,4.529,-0.0166634,0.146,0.000166163,0.168
2006-02-06,1265.02,4.547,-0.0194784,0.174,-0.00145241,0.153
2006-02-07,1254.78,4.571,-0.0270685,0.141,-0.007828067,0.09
2006-02-08,1265.65,4.591,-0.0220448,0.133,-0.006421579,0.066
2006-02-09,1263.78,4.549,-0.0173242,0.141,-0.015532982,0.034
2006-02-10,1266.99,4.59,-0.0160142,0.233,-0.01416133,0.059
2006-02-13,1262.86,4.585,-0.0157206,0.255,-0.013452284,0.066
2006-02-14,1275.53,4.612,-0.0018780,0.274,-0.005403677,0.051
2006-02-15,1280,4.6,-0.0039221,0.223,0.007207831,0.037
2006-02-16,1289.38,4.588,0.0221088,0.233,0.020054904,0.059
2006-02-17,1287.24,4.539,0.0185311,0.178,0.01756494,-0.008
2006-02-21,1283.03,4.571,0.0127638,0.177,0.022513907,0
2006-02-22,1292.67,4.527,0.0221321,0.046,0.021348714,-0.064
2006-02-23,1287.79,4.563,0.0109591,0.038,0.01899856,0.014
2006-02-24,1289.43,4.577,0.0044480,0.062,0.017711268,-0.013
2006-02-27,1294.12,4.594,0.0069484,0.063,0.024753338,0.009
2006-02-28,1280.66,4.557,0.0004531,0.038,0.004021858,-0.055
2006-03-01,1291.24,4.589,0.0068462,0.028,0.00878125,-0.011
2006-03-02,1289.14,4.632,0.0143999,0.069,-0.000186136,0.044
2006-03-03,1287.23,4.684,0.0183540,0.155,-7.76856E-06,0.145
2006-03-06,1278.26,4.754,0.0104662,0.207,-0.003717762,0.183
2006-03-07,1275.88,4.728,0.0168157,0.157,-0.01298862,0.201
2006-03-08,1278.47,4.732,0.0101292,0.141,-0.007237205,0.169
2006-03-09,1272.23,4.73,0.0066863,0.181,-0.013339227,0.153
2006-03-10,1281.42,4.763,0.0113892,0.173,-0.009813619,0.169
2006-03-13,1284.13,4.773,0.0168427,0.188,0.00270954,0.216
2006-03-14,1297.48,4.698,0.0172085,0.086,0.004832564,0.109
2006-03-15,1303.02,4.731,0.0179844,0.131,0.010766868,0.099
2006-03-16,1305.33,4.648,0.0123703,0.06,0.014061201,-0.036
2006-03-17,1307.25,4.676,0.0155449,0.137,0.022679267,-0.078
2006-03-20,1305.08,4.662,0.0171859,0.091,0.022886165,-0.066
2006-03-21,1297.23,4.725,0.0035276,0.198,0.01467379,-0.007
2006-03-22,1305.04,4.705,0.0133950,0.142,0.025789362,-0.025
2006-03-23,1301.67,4.737,0.0094926,0.16,0.015802781,-0.026
2006-03-24,1302.95,4.675,0.0068232,0.081,0.014655837,-0.098
2006-03-27,1301.61,4.709,0.0163588,0.152,0.003183093,0.011
2006-03-28,1293.23,4.794,0.0015412,0.205,-0.007513315,0.063
2006-03-29,1302.89,4.808,0.0106660,0.176,-0.001869259,0.16
2006-03-30,1300.25,4.861,0.0101147,0.177,-0.005354752,0.185
2006-03-31,1294.87,4.853,0.0129942,0.099,-0.007823275,0.191
2006-04-03,1297.81,4.866,0.0171881,0.138,0.000447107,0.141
2006-04-04,1305.93,4.868,0.0214788,0.136,0.000681971,0.163
2006-04-05,1311.56,4.847,0.0309142,0.117,0.007597932,0.11
2006-04-06,1309.04,4.901,0.0215542,0.138,0.004674009,0.226
2006-04-07,1295.5,4.986,0.0088542,0.213,-0.004694186,0.277
2006-04-10,1296.62,4.957,-0.0006628,0.259,0.002621343,0.163
2006-04-11,1286.57,4.924,-0.0126245,0.193,-0.012526,0.116
2006-04-12,1288.12,4.982,-0.0131844,0.334,-0.009328975,0.121
2006-04-13,1289.12,5.053,-0.0138688,0.377,-0.0044406,0.2
2006-04-17,1285.33,5.009,-0.0151332,0.347,-0.0096162,0.143
2006-04-18,1307.28,4.987,0.0077473,0.262,0.001033746,0.119
2006-04-19,1309.93,5.028,0.0037470,0.323,-0.001242795,0.181
2006-04-20,1311.46,5.047,0.0075211,0.31,0.001848683,0.146
2006-04-21,1311.28,5.016,0.0063932,0.341,0.012180625,0.03
2006-04-24,1308.11,4.985,0.0049938,0.276,0.008861501,0.028
2006-04-25,1301.74,5.073,0.0065804,0.279,0.011791041,0.149
2006-04-26,1305.41,5.111,0.0019342,0.303,0.013422662,0.129
2006-04-27,1309.72,5.073,0.0072832,0.212,0.015979893,0.02
2006-04-28,1310.61,5.057,0.0121557,0.204,0.019668101,0.048
2006-05-01,1305.19,5.143,0.0056865,0.277,-0.001598739,0.156
2006-05-02,1313.21,5.114,0.0055746,0.246,0.002503951,0.086
2006-05-03,1308.12,5.148,-0.0026228,0.301,-0.00254678,0.101
