date,mktrf,smb,hml,rf,umd
2006-01-03,0.015,-0.002,0.0013,0.00017,0.0116
2006-01-04,0.0046,0.0036,0.0002,0.00017,0.0024
2006-01-05,0.0003,0.0029,-0.001,0.00017,-0.005600000000000001
2006-01-06,0.0092,0.001,-0.0024,0.00017,0.0032
2006-01-09,0.004500000000000001,0.0052,-0.0015,0.00017,-0.0009
2006-01-10,0.0005,0.005600000000000001,0.0,0.00017,0.0046
2006-01-11,0.0028,-0.0024,-0.0011,0.00017,-0.0013
2006-01-12,-0.006500000000000001,0.0009,-0.0001,0.00017,-0.0001
2006-01-13,0.0017,0.0013,0.0007000000000000001,0.00017,0.0029
2006-01-17,-0.004,-0.0033,0.0023,0.00017,0.0075
2006-01-18,-0.0035,0.0036,0.0029,0.00017,-0.0034
2006-01-19,0.0063,0.009399999999999999,-0.0009,0.00017,0.0046
2006-01-20,-0.018,0.0037,0.0049,0.00017,0.001
2006-01-23,0.0018,0.0019,0.0042,0.00017,0.0034
2006-01-24,0.0044,0.0103,0.0009,0.00017,0.004
2006-01-25,-0.0022,-0.0003,-0.001,0.00017,-0.0073
2006-01-26,0.0079,0.008,0.0003,0.00017,0.0024
2006-01-27,0.0067,-0.0016,-0.0019,0.00017,0.0027
2006-01-30,0.001,-0.0027,0.0022,0.00017,0.0032
2006-01-31,-0.0021,0.006,-0.0003,0.00017,0.0022
2006-02-01,0.0014,0.002,0.0005,0.00018,-0.0018
2006-02-02,-0.0088,-0.0027,-0.0006,0.00018,-0.0029
2006-02-03,-0.0051,0.0023,0.0,0.00018,0.0025
2006-02-06,0.001,0.0025,0.005,0.00018,0.0053
2006-02-07,-0.0092,-0.0048,-0.0021,0.00018,-0.0138
2006-02-08,0.0077,-0.0026,-0.0008,0.00018,-0.004099999999999999
2006-02-09,-0.0019,-0.0013,-0.0026,0.00018,-0.0064
2006-02-10,0.0015,-0.0037,-0.0003,0.00018,-0.003
2006-02-13,-0.004699999999999999,-0.0052,0.0018,0.00018,-0.004099999999999999
2006-02-14,0.0101,0.0026,-0.0011,0.00018,-0.0007000000000000001
2006-02-15,0.004099999999999999,0.0042,-0.005,0.00018,0.0002
2006-02-16,0.0075,0.0004,0.0021,0.00018,0.0089
2006-02-17,-0.0016,-0.0004,0.0033,0.00018,0.003
2006-02-21,-0.0038,-0.0022,0.0011,0.00018,0.0049
2006-02-22,0.0073,0.0001,-0.0006,0.00018,-0.0011
2006-02-23,-0.0029,0.0023,-0.0025,0.00018,0.0005
2006-02-24,0.0019,0.0033,0.0019,0.00018,0.0031
2006-02-27,0.004,0.0018,-0.0033,0.00018,-0.0008
2006-02-28,-0.011,-0.0022,0.0009,0.00018,-0.0038
2006-03-01,0.009000000000000001,0.0068,-0.0001,0.00016,0.0088
