,cash,mv,nav
2006-01-31,-3.2378011383116245e-10,999999.9999999998,999999.9999999994
2006-02-01,5259.35152690272,995983.0527558684,1001242.4042827712
2006-02-02,6383.66008452124,987816.3285920573,994199.9886765786
2006-02-03,6383.66008452124,983343.0508494931,989726.7109340144
2006-02-06,6383.66008452124,986791.9118483226,993175.5719328439
2006-02-07,6383.66008452124,975216.7138491246,981600.3739336459
2006-02-08,6610.903364004149,979755.1060230377,986366.0093870418
2006-02-09,6610.903364004149,979289.9122312247,985900.8155952288
2006-02-10,6610.903364004149,978215.4429325898,984826.3462965939
2006-02-13,6610.903364004149,972248.3147232153,978859.2180872194
2006-02-14,6610.903364004149,980496.7420833654,987107.6454473695
2006-02-15,7405.386850904164,983299.527215132,990704.9140660362
2006-02-16,7405.386850904164,992337.5508799935,999742.9377308977
2006-02-17,7405.386850904164,990467.2342649734,997872.6211158776
2006-02-21,7405.386850904164,987835.7578485445,995241.1446994487
2006-02-22,7405.386850904164,994699.5711610223,1002104.9580119265
2006-02-23,7405.386850904164,992323.859368757,999729.2462196612
2006-02-24,7405.386850904164,996036.5331043274,1003441.9199552316
2006-02-27,8165.462833034277,999037.9296854262,1007203.3925184604
2006-02-28,-9740.484521309225,1016943.87703977,1007203.3925184608
2006-03-01,-9740.484521309225,1027979.7094425574,1018239.2249212482
2006-03-02,-9740.484521309225,1027668.3445580372,1017927.860036728
2006-03-03,-9740.484521309225,1025884.4113888498,1016143.9268675406
2006-03-06,-7302.2616646047145,1015525.350974344,1008223.0893097392
2006-03-07,-6661.9484807004255,1003967.2822763915,997305.3337956911
2006-03-08,-6661.9484807004255,1005694.2241169404,999032.27563624
2006-03-09,-6661.9484807004255,1001850.05600555,995188.1075248496
2006-03-10,-6661.9484807004255,1008906.2516162568,1002244.3031355564
2006-03-13,-6661.9484807004255,1012099.3446194993,1005437.3961387989
2006-03-14,-6661.9484807004255,1022568.0119766333,1015906.063495933
2006-03-15,-6661.9484807004255,1029511.6457229356,1022849.6972422352
2006-03-16,-6661.9484807004255,1029072.5180626286,1022410.5695819282
2006-03-17,-6661.9484807004255,1031254.2613318457,1024592.3128511453
2006-03-20,-6661.9484807004255,1030457.7889220655,1023795.8404413651
2006-03-21,-6661.9484807004255,1022955.6631396284,1016293.714658928
2006-03-22,-6661.9484807004255,1029041.445567998,1022379.4970872976
2006-03-23,-6661.9484807004255,1027971.4882910147,1021309.5398103143
2006-03-24,-6661.9484807004255,1034662.0390557601,1028000.0905750598
2006-03-27,-6661.9484807004255,1035230.8448202617,1028568.8963395613
2006-03-28,-6661.9484807004255,1029928.037805961,1023266.0893252606
