,cash,mv,nav
2006-01-31,550723.0756007358,449276.92439926305,999999.9999999988
2006-02-01,554121.3670153936,446144.4302189595,1000265.7972343531
2006-02-02,555122.7340398896,439998.7421105082,995121.4761503979
2006-02-03,555122.7340398896,439325.0963351451,994447.8303750348
2006-02-06,555122.7340398896,442967.25233777054,998089.9863776602
2006-02-07,555122.7340398896,434494.7067885511,989617.4408284407
2006-02-08,555029.451191931,436706.55864230957,991736.0098342407
2006-02-09,555029.451191931,434651.4061047847,989680.8572967157
2006-02-10,555029.451191931,433495.7882810922,988525.2394730232
2006-02-13,555029.451191931,429683.6645432427,984713.1157351737
2006-02-14,555029.451191931,433870.05677439267,988899.5079663238
2006-02-15,555905.1336243298,433316.5788124979,989221.7124368277
2006-02-16,555905.1336243298,439484.33553290693,995389.4691572367
2006-02-17,555905.1336243298,439981.62154887087,995886.7551732007
2006-02-21,555905.1336243298,440369.00792936905,996274.1415536988
2006-02-22,555905.1336243298,443690.4651850796,999595.5988094094
2006-02-23,555905.1336243298,441696.8713195702,997602.0049439
2006-02-24,555905.1336243298,444029.90097861,999935.0346029398
2006-02-27,556988.3196828072,443754.00895772706,1000742.3286405343
2006-02-28,538697.5252864558,462044.80335407873,1000742.3286405345
2006-03-01,538697.5252864558,468856.5667840545,1007554.0920705103
2006-03-02,538697.5252864558,470187.2696458256,1008884.7949322814
2006-03-03,538697.5252864558,469189.5285077992,1007887.053794255
2006-03-06,540781.5171381532,461116.24072970473,1001897.7578678579
2006-03-07,540261.1445112373,457243.38013970986,997504.5246509472
2006-03-08,540261.1445112373,456633.9234962793,996895.0680075166
2006-03-09,540261.1445112373,454487.8510577743,994748.9955690117
2006-03-10,540261.1445112373,458004.4445693402,998265.5890805775
2006-03-13,540261.1445112373,460486.0171790258,1000747.1616902631
2006-03-14,540261.1445112373,466295.1725129654,1006556.3170242027
2006-03-15,540261.1445112373,469853.73605184304,1010114.8805630803
2006-03-16,540261.1445112373,469576.76683900156,1009837.9113502388
2006-03-17,540261.1445112373,470114.41682030255,1010375.5613315399
2006-03-20,540261.1445112373,468372.4199789056,1008633.5644901429
2006-03-21,540261.1445112373,463412.0701123369,1003673.2146235742
2006-03-22,540261.1445112373,466087.8892599716,1006349.033771209
2006-03-23,540261.1445112373,464756.87530384783,1005018.0198150851
2006-03-24,540261.1445112373,469019.5198364387,1009280.664347676
2006-03-27,540261.1445112373,468650.84861069534,1008911.9931219326
2006-03-28,540261.1445112373,466979.76998458646,1007240.9144958237
2006-03-29,540261.1445112373,473967.61020100984,1014228.754712247
2006-03-30,540261.1445112373,474176.0513830021,1014437.1958942394
2006-03-31,474009.9160069783,540427.2798872582,1014437.1958942364
2006-04-03,478877.0054326517,536879.1954935289,1015756.2009261806
2006-04-04,478877.0054326517,539391.1320717292,1018268.1375043809
2006-04-05,478877.0054326517,543866.3953685185,1022743.4008011703
2006-04-06,478877.0054326517,542940.3652650008,1021817.3706976526
2006-04-07,478489.79453450406,536566.2051138903,1015055.9996483944
2006-04-10,479831.23612276424,534497.4950488764,1014328.7311716406
2006-04-11,479831.23612276424,528695.4929687219,1008526.7290914862
2006-04-12,479831.23612276424,531154.6331534488,1010985.869276213
2006-04-13,479831.23612276424,532482.3219659762,1012313.5580887403
2006-04-17,479831.23612276424,533092.7633273829,1012923.9994501472
2006-04-18,479831.23612276424,544023.7212040543,1023854.9573268185
2006-04-19,479831.23612276424,548976.7059149394,1028807.9420377037
2006-04-20,481103.890124452,545872.0271645549,1026975.917289007
2006-04-21,481103.890124452,545904.4154967833,1027008.3056212354
2006-04-24,482250.50394497253,542818.8235911223,1025069.3275360948
2006-04-25,482121.75872718054,539568.4876515073,1021690.2463786878
2006-04-26,482121.75872718054,538937.0698943108,1021058.8286214913
2006-04-27,482121.75872718054,537378.1680544617,1019499.9267816423
2006-04-28,482121.75872718054,540401.5025065964,1022523.2612337769
2006-05-01,482121.75872718054,540080.2751546162,1022202.0338817968
2006-05-02,482121.75872718054,545121.5105273,1027243.2692544805
2006-05-03,482121.75872718054,542553.5706278738,1024675.3293550543
2006-05-04,482121.75872718054,545514.4696177249,1027636.2283449054
2006-05-05,482121.75872718054,551552.440543478,1033674.1992706585
2006-05-08,482121.75872718054,550483.4304353497,1032605.1891625302
2006-05-09,482121.75872718054,551230.7142661605,1033352.472993341
2006-05-10,479502.1210258448,551548.9918867551,1031051.1129125999
2006-05-11,479502.1210258448,541507.8187249579,1021009.9397508027
2006-05-12,480064.7649865466,530327.3681440538,1010392.1331306004
2006-05-15,480064.7649865466,525243.631062762,1005308.3960493086
2006-05-16,480064.7649865466,524629.1604513351,1004693.9254378817
2006-05-17,480064.7649865466,512831.45488769485,992896.2198742414
2006-05-18,480064.7649865466,507170.7832774578,987235.5482640044
2006-05-19,480064.7649865466,509794.2150741748,989858.9800607214
2006-05-22,480476.9501117312,503199.45052746794,983676.4006391992
2006-05-23,480476.9501117312,503092.88668212964,983569.8367938609
2006-05-24,480476.9501117312,501281.5408110044,981758.4909227355
2006-05-25,480476.9501117312,510021.9682672613,990498.9183789925
2006-05-26,481270.29816688265,513225.0561687805,994495.3543356631
2006-05-30,481270.29816688265,502822.0766867634,984092.374853646
2006-05-31,553949.8367674128,430142.53808623384,984092.3748536466
2006-06-01,554042.6198656277,436338.56601286924,990381.185878497
2006-06-02,555089.2633579156,436855.7939113426,991945.0572692582
2006-06-05,555940.6556594638,426057.2673333282,981997.922992792
2006-06-06,555940.6556594638,423654.0452276296,979594.7008870934
2006-06-07,555940.6556594638,418153.83599774743,974094.4916572112
2006-06-08,555940.6556594638,415292.1576451897,971232.8133046536
2006-06-09,555940.6556594638,413402.2550056383,969342.9106651021
2006-06-12,556882.1679814789,401469.0869684446,958351.2549499234
2006-06-13,556882.1679814789,393219.0715180644,950101.2394995433
2006-06-14,556882.1679814789,397658.42541895324,954540.593400432
2006-06-15,556882.1679814789,412854.9520436709,969737.1200251498
2006-06-16,556882.1679814789,410202.5406668316,967084.7086483105
2006-06-19,556882.1679814789,404015.70438970055,960897.8723711794
2006-06-20,556882.1679814789,404270.10418597324,961152.2721674521
2006-06-21,556882.1679814789,412237.5297928077,969119.6977742866
2006-06-22,557372.6454265753,410160.12081996416,967532.7662465395
2006-06-23,557372.6454265753,413356.0886855023,970728.7341120776
2006-06-26,557372.6454265753,415962.8187749737,973335.4642015491
2006-06-27,559327.3305641924,409616.02940727485,968943.3599714672
